study,first_slice,last_slice,num_slice
1.2.826.0.1.3680043.10633,82,118,37
1.2.826.0.1.3680043.10921,91,125,35
1.2.826.0.1.3680043.11827,96,141,46
1.2.826.0.1.3680043.11988,111,156,46
1.2.826.0.1.3680043.12281,106,150,45
1.2.826.0.1.3680043.12292,104,150,47
1.2.826.0.1.3680043.12833,89,126,38
1.2.826.0.1.3680043.14267,90,121,32
1.2.826.0.1.3680043.1480,95,151,57
1.2.826.0.1.3680043.15206,99,137,39
1.2.826.0.1.3680043.1542,86,128,43
1.2.826.0.1.3680043.1573,107,154,48
1.2.826.0.1.3680043.16092,88,136,49
1.2.826.0.1.3680043.16919,87,118,32
1.2.826.0.1.3680043.17481,81,114,34
1.2.826.0.1.3680043.17960,83,117,35
1.2.826.0.1.3680043.18480,84,117,34
1.2.826.0.1.3680043.1868,97,134,38
1.2.826.0.1.3680043.18906,88,126,39
1.2.826.0.1.3680043.18935,99,141,43
1.2.826.0.1.3680043.18968,72,118,47
1.2.826.0.1.3680043.19021,96,136,41
1.2.826.0.1.3680043.19333,107,144,38
1.2.826.0.1.3680043.19388,97,138,42
1.2.826.0.1.3680043.20647,84,120,37
1.2.826.0.1.3680043.20928,110,154,45
1.2.826.0.1.3680043.21321,108,149,42
1.2.826.0.1.3680043.21651,106,142,37
1.2.826.0.1.3680043.24140,88,126,39
1.2.826.0.1.3680043.24617,89,130,42
1.2.826.0.1.3680043.24891,80,118,39
1.2.826.0.1.3680043.25704,82,111,30
1.2.826.0.1.3680043.25833,109,154,46
1.2.826.0.1.3680043.26068,97,137,41
1.2.826.0.1.3680043.26110,90,119,30
1.2.826.0.1.3680043.26442,99,141,43
1.2.826.0.1.3680043.26492,88,118,31
1.2.826.0.1.3680043.26498,94,151,58
1.2.826.0.1.3680043.26740,101,137,37
1.2.826.0.1.3680043.26898,111,156,46
1.2.826.0.1.3680043.26979,84,122,39
1.2.826.0.1.3680043.26990,71,113,43
1.2.826.0.1.3680043.27016,98,143,46
1.2.826.0.1.3680043.27292,89,122,34
1.2.826.0.1.3680043.27752,83,114,32
1.2.826.0.1.3680043.28025,68,102,35
1.2.826.0.1.3680043.28327,95,142,48
1.2.826.0.1.3680043.28665,101,140,40
1.2.826.0.1.3680043.29425,94,132,39
1.2.826.0.1.3680043.30067,91,129,39
1.2.826.0.1.3680043.30487,82,112,31
1.2.826.0.1.3680043.30524,97,133,37
1.2.826.0.1.3680043.30565,107,145,39
1.2.826.0.1.3680043.30640,88,141,54
1.2.826.0.1.3680043.31077,106,148,43
1.2.826.0.1.3680043.3168,84,129,46
1.2.826.0.1.3680043.32280,102,137,36
1.2.826.0.1.3680043.32370,100,150,51
1.2.826.0.1.3680043.32434,101,140,40
1.2.826.0.1.3680043.32436,79,125,47
1.2.826.0.1.3680043.32590,88,141,54
1.2.826.0.1.3680043.32658,84,134,51
1.2.826.0.1.3680043.3376,114,165,52
1.2.826.0.1.3680043.3882,96,135,40
1.2.826.0.1.3680043.3992,82,113,32
1.2.826.0.1.3680043.4202,92,137,46
1.2.826.0.1.3680043.4769,98,150,53
1.2.826.0.1.3680043.5002,98,138,41
1.2.826.0.1.3680043.5671,103,150,48
1.2.826.0.1.3680043.5782,102,140,39
1.2.826.0.1.3680043.5783,90,133,44
1.2.826.0.1.3680043.6078,84,126,43
1.2.826.0.1.3680043.6125,86,126,41
1.2.826.0.1.3680043.6376,77,114,38
1.2.826.0.1.3680043.780,94,129,36
1.2.826.0.1.3680043.8024,89,128,40
1.2.826.0.1.3680043.8330,103,144,42
1.2.826.0.1.3680043.8574,94,132,39
1.2.826.0.1.3680043.8744,86,125,40
1.2.826.0.1.3680043.8884,79,117,39
1.2.826.0.1.3680043.9926,94,142,49
