study,first_slice,last_slice,num_slice
1.2.826.0.1.3680043.10633,42,79,38
1.2.826.0.1.3680043.10921,45,79,35
1.2.826.0.1.3680043.11827,51,89,39
1.2.826.0.1.3680043.11988,58,106,49
1.2.826.0.1.3680043.12281,59,93,35
1.2.826.0.1.3680043.12292,57,94,38
1.2.826.0.1.3680043.12833,48,82,35
1.2.826.0.1.3680043.14267,46,78,33
1.2.826.0.1.3680043.1480,56,96,41
1.2.826.0.1.3680043.15206,49,83,35
1.2.826.0.1.3680043.1542,49,85,37
1.2.826.0.1.3680043.1573,59,105,47
1.2.826.0.1.3680043.16092,48,91,44
1.2.826.0.1.3680043.16919,48,81,34
1.2.826.0.1.3680043.17481,40,76,37
1.2.826.0.1.3680043.17960,42,82,41
1.2.826.0.1.3680043.18480,45,74,30
1.2.826.0.1.3680043.1868,54,96,43
1.2.826.0.1.3680043.18906,47,80,34
1.2.826.0.1.3680043.18935,54,100,47
1.2.826.0.1.3680043.18968,40,79,40
1.2.826.0.1.3680043.19021,53,90,38
1.2.826.0.1.3680043.19333,57,100,44
1.2.826.0.1.3680043.19388,52,91,40
1.2.826.0.1.3680043.20647,47,77,31
1.2.826.0.1.3680043.20928,56,102,47
1.2.826.0.1.3680043.21321,53,97,45
1.2.826.0.1.3680043.21651,52,88,37
1.2.826.0.1.3680043.24140,48,83,36
1.2.826.0.1.3680043.24617,51,86,36
1.2.826.0.1.3680043.24891,43,79,37
1.2.826.0.1.3680043.25704,44,76,33
1.2.826.0.1.3680043.25833,59,101,43
1.2.826.0.1.3680043.26068,50,89,40
1.2.826.0.1.3680043.26110,44,85,42
1.2.826.0.1.3680043.26442,54,89,36
1.2.826.0.1.3680043.26492,47,78,32
1.2.826.0.1.3680043.26498,49,95,47
1.2.826.0.1.3680043.26740,55,93,39
1.2.826.0.1.3680043.26898,61,99,39
1.2.826.0.1.3680043.26979,46,83,38
1.2.826.0.1.3680043.26990,41,72,32
1.2.826.0.1.3680043.27016,55,95,41
1.2.826.0.1.3680043.27292,46,81,36
1.2.826.0.1.3680043.27752,42,75,34
1.2.826.0.1.3680043.28025,38,71,34
1.2.826.0.1.3680043.28327,49,93,45
1.2.826.0.1.3680043.28665,56,92,37
1.2.826.0.1.3680043.29425,51,95,45
1.2.826.0.1.3680043.30067,47,85,39
1.2.826.0.1.3680043.30487,41,72,32
1.2.826.0.1.3680043.30524,47,89,43
1.2.826.0.1.3680043.30565,58,96,39
1.2.826.0.1.3680043.30640,53,91,39
1.2.826.0.1.3680043.31077,57,100,44
1.2.826.0.1.3680043.3168,46,86,41
1.2.826.0.1.3680043.32280,53,88,36
1.2.826.0.1.3680043.32370,55,95,41
1.2.826.0.1.3680043.32434,53,88,36
1.2.826.0.1.3680043.32436,45,87,43
1.2.826.0.1.3680043.32590,45,89,45
1.2.826.0.1.3680043.32658,45,86,42
1.2.826.0.1.3680043.3376,62,113,52
1.2.826.0.1.3680043.3882,54,86,33
1.2.826.0.1.3680043.3992,45,76,32
1.2.826.0.1.3680043.4202,50,87,38
1.2.826.0.1.3680043.4769,48,100,53
1.2.826.0.1.3680043.5002,55,88,34
1.2.826.0.1.3680043.5671,58,103,46
1.2.826.0.1.3680043.5782,52,92,41
1.2.826.0.1.3680043.5783,50,84,35
1.2.826.0.1.3680043.6078,50,85,36
1.2.826.0.1.3680043.6125,41,92,52
1.2.826.0.1.3680043.6376,39,76,38
1.2.826.0.1.3680043.780,51,83,33
1.2.826.0.1.3680043.8024,51,81,31
1.2.826.0.1.3680043.8330,59,94,36
1.2.826.0.1.3680043.8574,51,83,33
1.2.826.0.1.3680043.8744,46,79,34
1.2.826.0.1.3680043.8884,38,78,41
1.2.826.0.1.3680043.9926,55,93,39
