study,first_slice,last_slice,num_slice
1.2.826.0.1.3680043.10633,98,133,36
1.2.826.0.1.3680043.10921,108,146,39
1.2.826.0.1.3680043.11827,110,162,53
1.2.826.0.1.3680043.11988,138,183,46
1.2.826.0.1.3680043.12281,130,175,46
1.2.826.0.1.3680043.12292,124,178,55
1.2.826.0.1.3680043.12833,106,146,41
1.2.826.0.1.3680043.14267,109,142,34
1.2.826.0.1.3680043.1480,120,167,48
1.2.826.0.1.3680043.15206,108,165,58
1.2.826.0.1.3680043.1542,111,149,39
1.2.826.0.1.3680043.1573,129,183,55
1.2.826.0.1.3680043.16092,105,159,55
1.2.826.0.1.3680043.16919,105,138,34
1.2.826.0.1.3680043.17481,104,140,37
1.2.826.0.1.3680043.17960,103,137,35
1.2.826.0.1.3680043.18480,102,137,36
1.2.826.0.1.3680043.1868,117,153,37
1.2.826.0.1.3680043.18906,109,144,36
1.2.826.0.1.3680043.18935,123,166,44
1.2.826.0.1.3680043.18968,90,135,46
1.2.826.0.1.3680043.19021,121,155,35
1.2.826.0.1.3680043.19333,131,172,42
1.2.826.0.1.3680043.19388,116,165,50
1.2.826.0.1.3680043.20647,103,143,41
1.2.826.0.1.3680043.20928,135,183,49
1.2.826.0.1.3680043.21321,128,174,47
1.2.826.0.1.3680043.21651,127,167,41
1.2.826.0.1.3680043.24140,104,144,41
1.2.826.0.1.3680043.24617,100,150,51
1.2.826.0.1.3680043.24891,100,138,39
1.2.826.0.1.3680043.25704,98,133,36
1.2.826.0.1.3680043.25833,131,172,42
1.2.826.0.1.3680043.26068,120,161,42
1.2.826.0.1.3680043.26110,110,146,37
1.2.826.0.1.3680043.26442,122,164,43
1.2.826.0.1.3680043.26492,108,139,32
1.2.826.0.1.3680043.26498,108,167,60
1.2.826.0.1.3680043.26740,124,161,38
1.2.826.0.1.3680043.26898,138,183,46
1.2.826.0.1.3680043.26979,102,142,41
1.2.826.0.1.3680043.26990,88,132,45
1.2.826.0.1.3680043.27016,123,166,44
1.2.826.0.1.3680043.27292,109,142,34
1.2.826.0.1.3680043.27752,104,136,33
1.2.826.0.1.3680043.28025,84,118,35
1.2.826.0.1.3680043.28327,111,161,51
1.2.826.0.1.3680043.28665,123,162,40
1.2.826.0.1.3680043.29425,115,157,43
1.2.826.0.1.3680043.30067,113,150,38
1.2.826.0.1.3680043.30487,98,131,34
1.2.826.0.1.3680043.30524,116,155,40
1.2.826.0.1.3680043.30565,129,171,43
1.2.826.0.1.3680043.30640,101,155,55
1.2.826.0.1.3680043.31077,133,175,43
1.2.826.0.1.3680043.3168,99,147,49
1.2.826.0.1.3680043.32280,123,160,38
1.2.826.0.1.3680043.32370,116,168,53
1.2.826.0.1.3680043.32434,125,163,39
1.2.826.0.1.3680043.32436,86,141,56
1.2.826.0.1.3680043.32590,108,164,57
1.2.826.0.1.3680043.32658,106,148,43
1.2.826.0.1.3680043.3376,141,184,44
1.2.826.0.1.3680043.3882,118,156,39
1.2.826.0.1.3680043.3992,98,133,36
1.2.826.0.1.3680043.4202,113,158,46
1.2.826.0.1.3680043.4769,122,172,51
1.2.826.0.1.3680043.5002,123,159,37
1.2.826.0.1.3680043.5671,128,166,39
1.2.826.0.1.3680043.5782,125,167,43
1.2.826.0.1.3680043.5783,110,152,43
1.2.826.0.1.3680043.6078,89,143,55
1.2.826.0.1.3680043.6125,106,138,33
1.2.826.0.1.3680043.6376,95,134,40
1.2.826.0.1.3680043.780,114,154,41
1.2.826.0.1.3680043.8024,111,151,41
1.2.826.0.1.3680043.8330,127,173,47
1.2.826.0.1.3680043.8574,116,155,40
1.2.826.0.1.3680043.8744,103,146,44
1.2.826.0.1.3680043.8884,99,139,41
1.2.826.0.1.3680043.9926,120,162,43
